Day of week,Hrs,Mins,Stage,No.of waiting patients,Reason,Service time (secs)
2,21,0,2,14,2,3429
3,19,41,4,18,0,98
5,10,11,2,41,3,1516
0,0,32,2,20,0,885
0,14,58,2,47,0,880
1,9,12,2,29,3,1452
4,21,12,4,9,0,81
0,0,57,3,39,0,80
3,18,26,3,35,0,84
6,17,17,2,41,4,1080
2,21,53,3,43,3,88
3,9,18,2,0,0,906
0,20,12,2,48,1,2272
1,20,5,2,1,4,1368
6,11,50,4,5,3,61
1,18,17,4,13,3,91
1,19,7,3,37,0,66
2,18,58,4,10,2,95
2,9,4,2,47,3,1430
4,21,5,2,9,2,3750
5,11,8,4,14,0,87
2,21,50,2,1,1,2298
6,0,42,2,19,0,906
5,20,51,2,41,4,1072
4,9,35,4,32,1,69
0,12,30,2,1,0,914
1,18,8,2,45,0,909
5,10,17,2,7,0,605
0,18,38,2,29,4,1089
2,19,14,4,33,2,94
5,20,29,2,43,0,766
3,9,18,2,21,3,1539
0,0,6,4,43,4,101
0,20,58,2,30,1,2233
1,18,23,2,33,2,3289
3,21,26,3,32,2,78
5,19,53,4,18,1,84
6,11,19,2,24,1,2476
1,18,12,4,15,4,81
5,20,42,2,27,2,3677
3,21,0,2,43,1,2385
4,20,29,2,12,4,1090
1,20,33,2,2,2,3603
5,19,49,2,8,2,4318
1,20,0,2,4,1,2286
3,18,3,2,30,4,1083
1,20,3,2,10,2,3784
2,19,1,3,19,2,53
5,21,17,4,47,2,83
6,21,0,2,29,4,1083
5,19,50,2,35,2,3130
4,21,5,2,9,3,1425
2,20,29,4,36,0,91
0,11,3,2,38,2,3740
1,12,30,2,38,3,1499
3,21,21,2,48,1,2136
0,21,3,4,32,4,94
0,14,4,2,31,3,1571
4,18,49,2,47,4,1068
4,9,51,4,29,0,86
3,21,43,2,48,3,1548
5,21,21,2,43,3,1232
4,21,6,2,35,3,1416
6,16,21,3,11,0,73
1,20,52,2,21,0,905
0,20,3,3,27,4,62
6,15,46,3,21,4,64
3,11,54,2,37,4,1070
5,18,1,3,47,1,83
2,18,20,2,2,3,1449
0,12,18,2,39,1,2378
1,19,50,2,29,2,3680
3,19,23,3,11,4,57
3,18,45,2,29,1,2898
0,21,6,2,24,2,3387
0,0,6,2,21,3,1286
6,14,42,2,40,1,2461
2,21,19,2,32,0,885
0,12,12,4,1,1,96
0,14,12,2,34,2,3374
5,9,47,3,5,4,78
3,19,18,2,40,0,886
2,9,44,2,42,0,1128
1,18,31,2,6,3,1579
4,21,30,2,17,3,1144
1,11,40,4,22,0,98
2,19,7,3,5,1,49
4,18,23,2,48,4,1074
4,10,35,4,9,2,80
3,18,34,3,43,3,71
3,18,40,2,28,4,1090
4,9,34,2,3,2,2949
1,10,19,4,10,2,95
3,18,32,3,16,3,65
4,19,46,2,7,0,882
4,20,20,3,26,1,79
5,21,52,2,5,1,2424
1,18,54,3,10,2,44
4,21,39,4,26,2,98
6,21,25,2,26,1,2305
2,18,42,2,27,2,3738
4,12,40,2,44,1,2366
6,17,34,3,11,0,55
1,19,57,4,47,3,83
4,18,50,4,0,0,94
4,18,25,2,10,4,960
6,12,44,3,5,2,55
2,20,38,2,31,2,3360
1,19,9,2,45,1,2450
5,18,8,2,39,1,2440
3,21,11,2,49,3,1560
0,21,3,4,33,4,93
4,9,45,2,9,4,881
5,11,37,4,3,1,86
6,18,56,2,23,2,3667
1,20,13,2,35,2,3366
5,19,58,2,40,1,2016
2,18,14,2,43,4,1223
6,12,58,2,11,3,1511
2,20,14,2,29,1,2353
2,11,51,2,34,2,4026
0,16,30,2,14,0,1082
5,20,9,3,15,0,57
4,19,31,2,16,3,1565
3,19,58,2,36,0,1050
2,11,39,2,23,1,2334
5,10,15,3,30,3,72
4,18,17,4,38,4,81
2,18,13,3,42,4,60
0,15,37,2,5,4,1087
0,18,45,2,1,3,1569
0,18,1,2,46,0,915
0,17,6,2,22,3,1461
3,11,23,2,11,1,2205
0,0,46,3,18,2,59
5,11,43,4,23,4,96
0,15,1,3,41,3,51
0,21,6,4,13,4,88
4,20,50,4,8,3,88
4,21,6,4,33,4,84
3,20,58,2,18,2,3461
4,18,8,2,25,3,1848
6,15,54,2,31,3,1545
5,19,36,2,31,4,1163
6,12,10,2,29,3,1244
1,9,1,2,13,1,2303
1,19,37,3,10,3,76
6,10,58,2,9,2,4275
3,20,41,4,38,4,87
5,21,2,2,45,2,3894
0,0,19,2,29,2,3333
6,20,32,2,36,2,3527
3,21,49,4,9,3,60
5,20,58,2,37,1,2119
4,10,12,3,39,1,81
3,19,30,4,28,4,85
2,21,53,2,13,4,1090
3,18,29,2,11,1,2207
4,19,41,2,11,1,2357
4,20,27,3,42,1,74
6,0,50,2,5,4,1102
1,12,8,2,5,3,1433
5,19,15,2,2,1,2734
5,19,47,2,42,4,1071
0,16,24,2,31,4,1065
5,21,20,2,5,4,1143
6,15,23,2,10,0,880
6,0,14,3,23,4,50
0,0,16,2,16,0,911
6,20,41,2,40,2,3628
2,9,49,2,39,4,1078
6,17,7,2,46,0,1228
1,20,16,2,30,4,1091
3,21,1,2,2,0,885
6,9,33,4,39,1,79
1,9,19,3,18,2,57
6,12,33,2,27,4,1094
0,0,33,2,11,1,2329
3,21,51,4,24,1,102
3,21,30,3,7,3,78
2,18,40,2,29,1,2279
3,18,19,2,4,1,2211
0,11,52,2,44,4,1087
0,0,26,4,25,3,87
5,12,12,2,38,1,2341
5,12,3,2,25,2,3872
2,18,9,3,2,2,50
1,21,57,2,47,1,2421
5,11,8,2,34,4,984
1,11,8,2,45,0,917
0,0,8,2,13,1,2721
1,20,36,2,31,1,2730
3,9,26,2,11,1,2368
4,9,49,2,41,4,849
2,21,57,4,38,2,89
3,20,5,4,2,0,84
5,18,52,2,34,4,1087
0,15,29,2,40,0,881
3,9,57,2,8,3,1136
2,19,49,4,2,4,116
2,20,10,4,3,2,108
3,19,49,2,43,1,2264
5,18,15,2,48,2,3335
5,21,24,2,49,0,749
5,20,28,3,12,0,49
6,19,32,2,45,1,2279
6,18,42,2,15,1,2340
6,18,10,2,5,3,1516
4,9,30,2,10,0,890
4,19,12,2,7,1,2268
0,19,6,2,41,4,1061
1,20,35,2,33,4,891
3,21,59,2,10,1,2430
2,12,16,4,35,4,81
1,18,25,2,7,4,1077
6,11,57,2,46,4,1092
2,21,20,3,5,0,80
0,16,3,2,15,0,884
3,18,43,4,38,3,80
0,16,15,2,8,2,3492
6,16,25,2,49,2,3774
5,18,12,2,5,1,2367
3,18,12,2,39,0,892
2,20,48,2,27,3,1468
1,10,41,2,34,0,1030
2,21,37,2,5,1,2428
4,19,11,2,19,4,1076
4,9,22,2,34,2,3576
3,20,1,2,21,3,1525
1,19,3,2,15,2,3329
1,10,39,2,26,1,2388
6,17,6,2,47,0,900
4,19,23,2,18,1,2351
0,19,12,3,14,2,68
5,19,42,2,38,2,4610
3,21,47,2,5,1,2409
6,11,14,3,11,4,53
4,10,22,2,35,4,1070
4,18,11,2,21,4,1082
4,21,5,4,45,4,86
3,20,11,2,26,1,2359
1,11,58,2,34,1,2387
5,21,58,2,49,4,1098
1,20,11,2,29,0,1061
1,20,13,2,21,0,909
5,20,32,2,33,4,1064
5,21,45,4,30,4,89
5,10,28,2,21,1,2461
3,18,26,2,23,2,3504
0,16,44,3,2,0,58
3,9,43,2,0,2,3678
6,20,56,3,39,1,67
0,18,28,3,4,4,62
1,19,51,2,46,1,2022
4,21,57,4,18,2,96
0,10,54,2,34,2,3491
2,20,38,2,30,3,1201
4,20,29,2,13,0,913
0,20,16,2,27,3,1509
6,9,33,3,46,1,71
3,18,1,2,26,2,4334
1,21,29,2,19,2,3687
1,20,46,2,17,2,3531
3,20,18,2,48,2,3706
3,18,9,3,44,0,67
1,20,41,3,26,0,70
5,12,49,2,34,2,3407
0,20,38,2,27,4,1093
5,19,17,2,40,3,1434
6,17,23,2,37,4,1096
2,11,30,2,11,4,1127
4,21,43,2,29,3,1208
0,9,27,2,10,1,2760
1,12,46,2,15,1,2477
5,19,1,3,16,4,67
6,0,54,2,2,2,4665
0,15,46,2,7,0,892
0,19,11,4,39,0,89
1,20,59,3,21,1,61
3,10,29,2,27,2,3501
4,12,58,3,48,1,77
2,11,42,3,46,0,78
6,10,46,2,45,0,884
4,20,8,2,16,3,1441
6,0,16,3,39,3,52
6,19,58,2,39,4,1078
2,18,11,4,28,2,85
0,17,2,2,29,3,1106
5,12,11,3,14,0,87
3,9,34,3,42,3,75
2,18,24,2,1,3,1542
2,10,12,2,47,1,2298
5,18,49,2,19,1,2284
1,21,0,4,16,4,93
3,19,58,2,4,4,1060
2,19,40,2,4,0,894
0,11,46,2,28,4,1149
2,18,7,2,29,0,903
3,12,12,2,5,1,2413
3,21,15,2,24,0,896
2,18,51,2,23,2,2701
5,21,13,2,47,3,1550
6,19,37,3,49,2,74
4,21,45,3,44,3,44
2,19,42,3,38,3,60
5,19,50,2,40,1,2926
2,18,54,2,8,1,2231
5,9,16,4,48,2,85
5,20,0,2,3,1,2468
3,19,2,2,10,0,892
3,11,20,3,42,3,68
3,10,11,4,24,4,88
2,18,37,2,0,1,2433
3,21,49,3,39,0,51
3,20,7,2,9,3,1564
1,18,53,2,42,1,2365
3,11,26,2,40,2,3458
4,21,52,2,40,0,882
0,14,33,3,23,2,58
4,11,28,2,37,0,904
5,19,33,2,36,2,3729
3,10,20,3,16,2,81
6,0,14,2,37,1,2474
3,18,23,2,47,2,3370
5,21,25,4,22,0,91
6,0,36,2,19,3,1843
2,10,32,3,39,0,56
5,20,59,3,49,2,50
2,19,9,2,43,3,1531
5,18,17,2,24,4,1096
3,21,28,2,35,3,1519
1,19,38,3,43,2,69
3,12,32,2,40,1,2468
1,19,47,4,3,0,69
1,10,58,2,46,0,901
2,18,50,2,34,2,3454
6,0,47,2,44,3,1113
4,20,10,2,1,4,1080
5,18,33,2,18,3,1481
2,19,23,4,37,2,90
0,21,29,2,34,2,2688
2,21,19,2,3,3,1684
6,0,58,2,42,4,1079
5,9,34,2,13,4,1064
3,20,30,2,4,1,2473
5,20,59,2,43,3,1730
2,10,20,2,30,2,4042
3,21,29,2,35,0,995
1,18,48,2,12,4,1094
0,17,34,2,20,3,1482
5,21,3,2,19,2,3720
0,11,0,4,1,2,86
6,0,54,3,36,1,84
3,10,38,2,8,1,2322
4,11,32,2,6,2,3637
5,9,25,3,8,4,78
3,11,18,2,11,2,3418
0,20,56,3,16,1,77
5,18,59,2,45,1,2342
5,21,37,2,7,0,909
5,10,24,2,16,0,1037
3,21,57,2,16,1,2260
1,21,21,2,17,0,909
0,0,18,3,44,2,73
0,14,19,2,30,1,2366
4,10,5,4,2,3,108
5,19,47,2,2,2,4010
0,16,25,2,40,4,939
5,20,47,2,7,0,1087
5,18,38,2,16,4,1089
4,20,31,2,38,0,763
4,9,23,2,12,4,1062
4,10,1,2,16,3,1603
6,10,5,4,23,2,80
5,21,52,2,11,2,3221
3,19,48,2,44,1,2470
2,21,3,4,33,3,85
4,18,55,3,12,2,48
0,19,53,2,5,0,913
4,18,36,3,18,1,85
4,18,29,3,7,1,65
4,19,23,2,24,4,1076
0,9,53,2,19,2,3252
1,20,4,2,43,0,901
3,21,46,2,45,2,3474
5,21,15,4,10,1,67
1,20,21,4,28,4,90
0,16,59,4,39,4,65
0,10,39,2,0,1,2295
3,19,20,2,4,3,1129
5,18,44,2,19,3,1444
0,17,38,2,40,3,1822
1,21,27,2,23,0,918
1,12,8,2,8,4,1096
1,20,51,3,35,0,41
5,9,12,2,6,0,672
3,21,12,2,26,4,1089
6,9,32,2,24,1,2327
2,20,21,3,40,0,61
3,21,50,3,32,3,51
3,20,22,2,41,2,4310
0,14,0,2,44,1,2474
3,19,49,2,21,0,652
3,20,21,2,44,3,1320
4,18,35,3,47,4,61
5,19,44,3,12,0,68
6,18,19,4,7,0,98
5,18,6,4,0,1,83
5,19,53,2,18,4,1061
0,0,49,2,0,3,1521
6,19,52,2,41,3,1511
2,18,38,3,44,0,49
5,12,25,4,4,4,110
1,21,43,2,14,4,1332
5,21,14,4,29,0,69
5,21,30,2,8,3,1485
0,18,44,2,9,0,883
4,19,23,2,16,3,1488
4,20,7,2,0,2,3709
6,10,41,4,37,0,90
2,20,32,2,2,0,898
5,20,19,4,41,3,109
1,18,23,3,25,0,78
3,19,13,3,43,0,72
1,21,36,2,43,1,2386
4,21,47,3,8,4,48
0,0,24,2,26,4,1075
6,12,34,2,35,0,898
2,18,26,2,48,3,1690
4,20,9,2,21,0,888
2,20,58,3,31,2,73
6,9,10,2,2,4,1090
2,19,35,2,33,0,836
6,16,28,2,32,1,2448
4,19,47,4,47,2,90
6,9,39,2,9,2,3638
5,18,38,3,45,0,54
5,21,11,2,29,1,2461
5,20,50,3,13,1,62
3,18,21,2,37,4,1096
4,10,24,3,36,3,50
5,21,40,2,20,1,2299
2,21,25,4,22,2,90
1,9,35,2,32,1,2317
4,21,31,2,35,3,1508
2,19,30,2,33,1,2289
4,20,36,2,23,2,3087
5,10,19,2,35,4,1224
1,18,17,2,45,0,901
1,12,17,2,31,1,2314
1,12,45,4,1,3,87
4,21,59,3,9,0,49
1,18,18,2,8,0,898
2,11,41,2,4,3,1464
2,20,49,4,41,1,99
2,18,24,2,25,1,2462
4,18,46,3,41,0,60
3,19,5,2,22,2,2493
0,20,44,2,6,4,1081
1,12,2,2,1,3,1545
4,21,1,3,35,3,54
1,19,29,2,8,3,1782
1,21,31,2,39,1,2439
4,12,5,2,47,3,1511
3,9,4,2,34,0,887
0,17,14,2,11,1,2152
1,18,25,2,0,0,915
2,18,3,2,30,2,3340
3,21,39,2,8,4,1116
5,20,19,2,20,1,2086
5,19,37,3,49,4,67
0,18,49,2,29,2,3448
6,10,13,2,29,3,1488
5,21,28,2,18,1,2269
1,10,59,2,0,0,921
3,9,16,4,8,0,99
1,18,35,3,10,3,87
0,0,11,2,27,4,1095
1,21,17,2,44,1,2466
6,0,8,2,27,2,3625
0,19,16,2,8,4,1083
3,12,50,2,16,0,913
5,19,1,2,0,3,1470
0,19,15,2,36,2,3324
1,12,16,3,0,1,78
0,20,38,4,7,3,98
3,21,49,4,48,3,86
4,21,19,2,48,4,1133
5,18,9,2,39,4,1096
3,21,57,2,1,3,1446
2,18,39,2,13,4,1066
1,19,18,2,43,4,1090
5,9,57,2,49,3,1439
3,21,43,2,43,2,3201
5,20,21,2,13,4,957
1,19,12,3,3,0,64
4,18,22,2,2,3,1445
6,18,2,2,17,1,2376
2,20,46,2,18,4,1080
2,19,58,2,42,1,2269
1,18,45,2,26,1,2341
3,18,41,2,45,2,3511
6,20,40,3,35,1,62
2,21,12,2,9,2,3680
5,19,0,2,21,3,1477
5,18,6,2,24,3,1494
4,21,49,2,9,2,3490
2,11,45,2,35,3,1483
0,15,34,2,33,0,661
0,19,24,2,25,1,2467
3,12,2,3,46,4,54
0,20,44,2,49,2,2610
0,11,26,2,29,1,2453
1,21,56,2,29,0,1016
5,18,27,4,43,4,86
6,11,52,2,16,4,1094
3,21,15,4,37,1,92
3,11,31,2,23,0,605
0,0,20,4,11,1,112
4,18,40,3,29,0,86
5,20,43,2,31,4,1087
6,17,28,2,38,0,893
6,21,42,2,39,4,1098
2,20,9,2,27,0,918
4,18,47,4,5,2,90
4,20,4,3,45,1,53
5,18,29,4,23,1,104
6,17,12,4,44,3,85
1,10,16,2,16,1,2388
2,11,36,2,11,2,3401
1,11,38,2,9,4,1095
1,18,27,2,3,2,3169
5,21,3,2,15,0,883
4,19,3,2,10,0,884
2,21,25,2,32,3,1610
0,20,0,3,9,2,73
5,19,51,2,18,4,1094
4,19,10,2,27,0,911
4,19,27,4,34,3,95
1,18,48,3,20,4,52
0,15,27,3,10,4,58
4,18,32,2,44,0,895
5,9,41,2,24,0,894
3,12,13,2,38,2,3684
0,19,17,2,9,0,917
0,16,19,2,20,1,2300
5,18,56,3,47,1,73
5,19,34,2,2,2,3679
2,18,30,2,18,3,1421
1,18,14,2,31,2,3693
5,10,28,2,12,0,883
6,19,48,2,47,4,1363
2,9,42,2,8,4,1104
3,19,13,2,37,0,582
5,18,52,2,42,2,3407
5,12,44,4,9,4,109
0,0,26,2,34,3,1549
4,19,57,4,48,3,97
4,19,29,2,12,3,1091
6,0,10,3,19,3,72
6,16,38,2,48,1,2350
3,18,48,2,27,1,2362
3,11,34,3,45,0,57
1,18,43,2,46,0,884
2,12,7,2,19,3,1579
0,11,18,4,43,3,98
5,18,36,3,41,3,41
2,18,17,2,18,4,1357
3,19,3,4,32,0,84
6,0,26,2,17,1,2460
4,19,13,4,33,1,95
4,20,30,4,30,4,82
5,11,11,2,5,4,1094
1,20,33,2,42,2,3328
6,0,24,2,27,2,3282
1,11,35,2,47,1,2335
6,11,9,2,3,2,4130
2,18,40,2,31,1,2260
3,18,11,2,38,4,846
1,9,46,2,48,1,2354
1,19,25,2,20,3,1547
3,19,3,2,14,0,746
4,21,4,2,44,1,2318
5,21,6,2,10,1,2382
1,19,48,4,10,4,81
0,15,10,2,40,3,1821
1,20,18,4,15,1,99
6,0,50,2,14,0,906
4,20,15,2,45,0,904
6,14,38,3,40,3,67
1,20,27,2,26,2,4264
0,19,52,2,24,0,1235
5,20,56,2,46,1,2404
3,18,22,2,12,3,1222
2,9,5,2,17,4,1096
3,12,16,2,26,2,4206
1,20,0,3,13,1,42
1,19,53,2,22,1,2423
4,10,53,2,23,3,1509
0,18,12,3,39,0,54
5,20,6,3,33,2,54
1,21,0,2,16,1,2390
0,21,25,2,11,1,2406
0,10,50,2,49,4,1066
5,21,3,2,24,1,2333
1,18,56,2,29,3,1487
3,20,15,3,14,1,84
3,11,43,2,46,2,3482
4,21,43,2,8,4,1087
0,21,21,2,47,4,1099
2,10,24,2,2,3,1571
6,12,1,3,27,2,66
3,18,28,4,32,0,95
5,11,51,2,4,4,1096
2,21,59,2,48,2,3729
4,18,8,4,40,3,97
1,21,52,4,27,0,84
3,18,33,2,49,2,3406
0,10,19,3,26,3,56
4,18,43,3,32,3,55
5,10,29,2,44,4,1094
4,11,11,4,17,2,94
5,20,50,2,46,1,2465
3,20,37,4,14,2,81
6,17,53,2,19,3,1563
1,19,46,2,33,2,3368
2,18,58,3,15,3,53
5,10,26,2,45,0,917
2,19,17,2,8,1,2471
1,19,13,3,21,2,62
6,17,55,3,29,1,45
1,19,20,2,22,1,2434
4,10,55,3,49,2,56
5,12,42,4,4,1,107
5,10,32,3,29,2,76
6,11,5,2,6,1,2228
6,18,0,3,48,1,68
4,18,37,2,22,1,2310
2,19,9,2,5,0,1133
6,14,46,4,5,2,94
5,9,40,3,42,1,65
3,9,7,2,13,2,3568
2,19,22,3,1,0,76
1,21,18,2,36,4,1081
3,9,29,2,0,3,1242
5,11,56,2,42,4,996
4,11,52,2,37,0,904
6,12,31,2,37,2,3546
3,19,16,2,17,2,3681
0,15,56,2,43,2,4754
5,20,29,2,36,1,2418
0,20,19,2,13,3,1565
3,21,50,2,7,0,900
0,11,16,2,9,3,1487
2,19,14,2,15,0,836
5,12,19,2,37,0,901
4,11,59,2,15,4,1272
4,21,54,3,26,2,83
3,18,8,2,34,3,1469
6,15,33,3,6,1,53
3,11,0,4,4,0,91
1,18,47,2,3,0,897
2,21,30,3,27,2,51
0,19,40,4,44,0,96
6,16,48,2,19,3,1522
2,20,17,2,34,0,913
0,11,23,2,15,3,1553
0,12,49,4,48,0,97
0,16,11,2,26,4,948
3,9,46,2,21,4,1097
5,18,0,2,35,0,915
4,19,58,4,30,4,93
3,19,41,2,4,0,839
0,16,33,2,26,4,1113
0,17,4,2,28,1,2392
3,20,6,2,44,3,1423
0,18,48,2,9,3,1507
0,11,47,2,19,4,899
3,19,42,2,37,4,1109
2,21,10,2,39,4,1077
6,9,56,2,47,1,2148
1,12,58,2,10,1,2060
5,9,36,2,8,2,3465
1,11,23,2,18,2,3601
5,18,4,4,5,2,87
1,19,30,2,40,1,2280
0,17,42,4,1,0,94
6,10,13,2,33,1,2270
3,21,8,4,47,0,89
1,9,0,2,33,4,1094
4,18,54,2,27,4,1295
6,0,41,2,19,0,918
3,21,55,2,35,0,881
0,0,53,2,45,3,1545
6,11,14,2,8,1,2442
1,18,39,3,30,1,58
6,19,45,4,32,3,101
0,19,3,3,33,0,72
4,11,16,4,24,3,81
1,18,5,4,32,4,84
1,20,28,2,41,4,1061
5,19,8,4,32,0,87
6,14,17,4,37,4,67
3,10,56,2,5,1,2008
6,0,2,2,21,1,2370
1,9,34,2,9,0,712
4,20,53,2,31,1,2309
0,11,45,3,32,4,64
0,21,9,3,30,2,52
3,11,2,2,8,2,4092
3,21,53,2,35,4,860
0,10,1,2,11,1,2411
2,21,59,2,11,3,1571
2,9,56,2,32,4,1095
1,10,28,3,44,4,79
0,17,30,2,4,2,2822
